Foundation,Legal_Name,ABN,DGR_Status,Website,Address,ACNC_Registered,Entity_Type,Priority_Score,Focus_Areas,Grant_Size,Eligibility,Application_Type,Recent_Grants,Contact_Details,Recommended_Next_Step
Jack Brockhoff Foundation,The Trustee for Jack Brockhoff Foundation,29 541 091 501,Yes,harrisfamilyfoundation.com.au,"4/43 Agnes St, East Melbourne, VIC 3002",Yes,Private Foundation,5,"Health/wellbeing; children; communities; housing; social innovation",$200K-$300K/yr × 3-5yr,DGR1 required; VIC only; ACNC registered,"Partial: Bold Futures closed until 2028; People & Place invitation-only","Lighthouse Foundation ($599K/3yr), Monash Uni ($599K/3yr), Uniting VicTas ($600K/3yr), Royal Women's Hospital ($511K/3yr), FRRR IRCF ($1.36M/5yr)","foundation@jackbrockhoff.org.au; (03) 9006 1765; L5, 88 Jolimont St, East Melbourne VIC 3002","Email to introduce OZHARVEST; discuss NEST/FEAST alignment with Safe Secure Connected Communities. VIC-only but OZHARVEST has VIC ops."
Aurizon Community Giving Fund,Aurizon Community Giving Fund,N/A (Corporate),Yes (DGR1 Item 1),aurizon.com.au/sustainability/community/community-giving-fund,Via website,No,Corporate Foundation,5,"Health & wellbeing; community safety; environment; education",Up to $20K,DGR1 required; Rail corridor geographies (QLD/NSW/VIC/SA/WA),Open (annual round opens Sep 2026),"SecondBite Esperance WA; Breakthrough Mental Health; Aussie Helpers; Give Write; Newcastle Mens Shed","Website enquiry form; mailing list subscription","APPLY Sep 2026. Frame food rescue along rail corridors: environment (food waste) + health (nutrition) + education (FEAST). Reference SecondBite precedent. Subscribe to mailing list NOW."
Mazda Foundation,Mazda Foundation,N/A (Corporate),Yes,mazdafoundation.org.au,"Private Bag 40, Mount Waverley BC VIC 3149",No,Corporate Foundation,4,"Primary producers; literacy & numeracy; disadvantaged children",Varies ($5K-$50K est.),Eligible recipient under ITAA; National,Open (Round 2 closes 30 Sep 2026),"Not publicly listed — private foundation","info@mazdafoundation.org.au; (03) 8540 1800; Private Bag 40, Mount Waverley BC VIC 3149","APPLY by 30 Sep 2026. Frame around primary producer food rescue + FEAST/NEST literacy angle. Submit Project Notification form via website."
Charles & Cornelia Goode Foundation,The Trustee for Charles and Cornelia Goode Foundation,55 612 157 264,Yes (DGR from 10 May 2011),None found,VIC 3182 (Glen Waverley area),Not confirmed,Discretionary Investment Trust,4,"Dual SecondBite + FareShare supporter (proven food rescue alignment)",Unknown,DGR1 + Income Tax Exempt; Australia-based,Invitation only,"SecondBite AND FareShare (dual supporter list)","No public contact details","Approach via BOTH SecondBite and FareShare. Strongest dual-aligned foundation. Use both as introducers. Very high priority."
Marian & EH Flack Trust,The Trustee for The Marian & EH Flack Trust,84 438 432 132,No,None found,Camberwell VIC 3101,Yes,Other trust,4,"Dual SecondBite + FareShare supporter (proven food rescue alignment)",Unknown,Income Tax Exempt; Australia-based,Invitation only,"SecondBite AND FareShare (dual supporter list)","ACNC UUID: fc1e6a1c-39af-e811-a963-000d3ad24077; Camberwell VIC 3101","Approach via BOTH SecondBite and FareShare. Note: non-DGR so no tax deductions. Use both as introducers. Very high priority."
Gringlas Family Charitable Fund,The Trustee for THE GRINGLAS FAMILY CHARITABLE FUND,72 058 169 169,Yes (DGR from 01 Oct 2009),None found,VIC 3124 (South Yarra area),Yes,Discretionary Investment Trust,4,"FareShare supporter (proven food rescue alignment)",Unknown,DGR1 + Income Tax Exempt; Australia-based,Invitation only,"FareShare (supporter list)","No public contact details; also Gringlas Family Charitable TRUST exists (ABN 57 273 793 964, NO DGR) — use the FUND entity","Approach via FareShare relationship. Proven food rescue funder with DGR PAF status. ACNC registered. High priority."
Zagora Foundation,The Trustee for Zagora Foundation,87 690 464 536,Yes (DGR from 04 Jun 2010),None found,VIC 3000 (Melbourne CBD),Yes,Discretionary Investment Trust,4,"SecondBite supporter (proven food rescue alignment)",Unknown,DGR1 + Income Tax Exempt; Australia-based,Invitation only,"SecondBite (supporter list)","No public contact details","Approach via SecondBite relationship. Proven food rescue funder with DGR PAF status. ACNC registered. High priority."
Harris Family Foundation,The Trustee for Harris Family Foundation,60 442 233 618,Yes (DGR from 23 Sep 2019),harrisfamilyfoundation.com.au,"L5, 88 Jolimont Street, East Melbourne VIC 3002",Yes,Discretionary Investment Trust,4,"Troubled youth; homelessness; disability; health/medical research; animal welfare; environment",$10K-$100K,DGR1 + Income Tax Exempt; Australia-based,Invitation only,"STREAT Youth Training Academy; REACH Dream Factory; Harris Housing Project (Launch Housing)","harrisfamilyfoundation.com.au/grants/; L5, 88 Jolimont St, East Melbourne VIC 3002; (03) 9650 3333","Seek intro via SecondBite/FareShare/partners (STREAT, Launch Housing). Align food rescue with homelessness/youth/environment focus. VIC-based but OZHARVEST has VIC ops."
Reece Foundation,Reece Foundation,89 635 658 276,Not specified,reecefoundation.com.au,Via website,No,Corporate Foundation,3,"Clean water/sanitation; community infrastructure; disaster recovery",Project-based ($10K-$100K),Not specified; National + international,Open (project-based),"FareShare \"Growing Goodness at Dingley\"; Pomonal Tank Project; Arnhem Land WASH; Cambodia WASH; Eugowra Water Tank","Apply via website: reecefoundation.com.au/get-involved-apply-for-a-grant","APPLY for infrastructure grant. Frame food rescue infrastructure (cold storage, transport, community kitchens). Reference FareShare precedent."
Scobie & Claire Mackinnon Trust,The Trustee for THE SCOBIE & CLAIRE MACKINNON TRUST,16 372 021 546,No DGR,None found,VIC 3000 (Melbourne CBD),Yes,Other trust,3,"SecondBite supporter",Unknown,Income Tax Exempt; Australia-based,Invitation only,"SecondBite (supporter list)","No public contact details; ACNC registered","Approach via SecondBite. Note: non-DGR so OZHARVEST cannot offer tax deductions. Use SecondBite as reference."
Annie & John Paterson Foundation,The Trustee for ANNIE AND JOHN PATERSON FOUNDATION,60 752 519 929,Yes (DGR from 01 Oct 2009),None found,"15 Moralla Rd, Kooyong VIC 3144",Yes,Discretionary Investment Trust,3,"Disadvantaged people; families; youth; children 6-15; early childhood; homelessness risk; disabilities",Unknown (Revenue $2.9M; Expenses $721K),DGR1 + Income Tax Exempt; Australia-wide,Unknown,"Scope; Thin Green Line Foundation; One Disease; Ormond College; Bell Shakespeare; Red Shield Appeal; Stroke Foundation; Odyssey House; Jesuit Social Services; Jean Hailes","Email: jpaterson@afi.com.au; Address for service: john.paterson2023@outlook.com","Direct email approach linking food insecurity to their beneficiaries (disadvantaged families, homeless, youth)."
Stan Perron Charitable Foundation,Stan Perron Charitable Foundation,N/A,Yes,stanperron.com.au (inaccessible),Perth WA,Not confirmed,Private Foundation,3,"WA community welfare; children & families; medical research",Unknown,WA-focused; DGR likely required,Invitation only,"Foodbank WA Mobile Foodbank (meals & driver)","Contact via Perron Group corporate office","Build relationship referencing Foodbank WA precedent. Only relevant if OZHARVEST has WA operations."
